Generation,Partition 1,Partition 2,Partition 3,Partition 4,Partition 5,Partition 6,Partition 7,Partition 8,Partition 9
0,0.00028,0.000667,0.000676,0.000557,0.00158,0.000728,0.000393,0.00062,0.000611
1,0.000212,0.00038,0.000217,0.000376,0.000527,0.000197,0.000332,0.000283,0.000207
2,0.000201,0.000268,0.000213,0.000136,0.00011,0.000197,0.000213,0.000182,0.000162
3,0.000173,0.000153,0.000364,0.000156,0.000301,0.000707,0.00017,0.000396,0.000292
4,0.000363,0.000154,0.000291,0.000389,0.000145,0.000338,0.000033,0.00043,0.000457
5,0.000267,0.000297,0.000328,0.00033,0.000225,0.000403,0.000022,0.000383,0.000401
