accuracy_total,accuracy_druggable,accuracy_non_druggable
0.7558333333333334,0.7216666666666667,0.79
0.7508333333333334,0.7283333333333334,0.7733333333333333
0.7516666666666667,0.7216666666666667,0.7816666666666666
0.7441666666666666,0.71,0.7783333333333333
0.7316666666666667,0.7133333333333334,0.75
0.7358333333333333,0.6933333333333334,0.7783333333333333
0.7408333333333333,0.715,0.7666666666666667
0.7425,0.7033333333333334,0.7816666666666666
0.7458333333333333,0.725,0.7666666666666667
0.7475,0.72,0.775
0.7508333333333334,0.715,0.7866666666666666
0.7433333333333333,0.7133333333333334,0.7733333333333333
0.7566666666666667,0.7283333333333334,0.785
0.76,0.7216666666666667,0.7983333333333333
0.74,0.7083333333333334,0.7716666666666666
0.7575,0.735,0.78
0.7558333333333334,0.7333333333333333,0.7783333333333333
0.7416666666666667,0.72,0.7633333333333333
0.755,0.7316666666666667,0.7783333333333333
0.7525,0.7366666666666667,0.7683333333333333
0.7541666666666667,0.7166666666666667,0.7916666666666666
0.7433333333333333,0.7166666666666667,0.77
0.7525,0.7266666666666667,0.7783333333333333
0.7458333333333333,0.7216666666666667,0.77
0.74,0.715,0.765
0.7433333333333333,0.7016666666666667,0.785
0.7483333333333333,0.72,0.7766666666666666
0.7458333333333333,0.7016666666666667,0.79
0.7333333333333333,0.6966666666666667,0.77
0.7333333333333333,0.6916666666666667,0.775
0.7491666666666666,0.7166666666666667,0.7816666666666666
0.7466666666666667,0.7216666666666667,0.7716666666666666
0.7475,0.7233333333333334,0.7716666666666666
0.7475,0.7233333333333334,0.7716666666666666
0.7608333333333334,0.7366666666666667,0.785
0.7608333333333334,0.7283333333333334,0.7933333333333333
0.745,0.7183333333333334,0.7716666666666666
0.745,0.7083333333333334,0.7816666666666666
0.7525,0.7233333333333334,0.7816666666666666
0.7441666666666666,0.7133333333333334,0.775
0.7625,0.7466666666666667,0.7783333333333333
0.745,0.71,0.78
0.7433333333333333,0.7133333333333334,0.7733333333333333
0.7608333333333334,0.73,0.7916666666666666
0.7433333333333333,0.7116666666666667,0.775
0.7525,0.72,0.785
0.7425,0.7116666666666667,0.7733333333333333
0.7433333333333333,0.7133333333333334,0.7733333333333333
0.7533333333333333,0.7283333333333334,0.7783333333333333
0.7491666666666666,0.7383333333333333,0.76
0.7508333333333334,0.7266666666666667,0.775
0.7433333333333333,0.715,0.7716666666666666
0.7483333333333333,0.7183333333333334,0.7783333333333333
0.7433333333333333,0.7166666666666667,0.77
0.7541666666666667,0.7266666666666667,0.7816666666666666
0.765,0.73,0.8
0.7475,0.7216666666666667,0.7733333333333333
0.7566666666666667,0.7366666666666667,0.7766666666666666
0.7475,0.7216666666666667,0.7733333333333333
0.7416666666666667,0.7033333333333334,0.78
0.74,0.6983333333333334,0.7816666666666666
0.7525,0.705,0.8
0.7416666666666667,0.72,0.7633333333333333
