accuracy_total,accuracy_druggable,accuracy_non_druggable
0.5083333333333333,0.42833333333333334,0.5883333333333334
0.5666666666666667,0.47333333333333333,0.66
0.5966666666666667,0.5033333333333333,0.69
0.5933333333333334,0.485,0.7016666666666667
0.6208333333333333,0.525,0.7166666666666667
0.6225,0.5283333333333333,0.7166666666666667
0.6325,0.555,0.71
0.65,0.5566666666666666,0.7433333333333333
0.6408333333333334,0.5516666666666666,0.73
0.6516666666666666,0.5483333333333333,0.755
0.6658333333333334,0.5716666666666667,0.76
0.6583333333333333,0.5533333333333333,0.7633333333333333
0.6633333333333333,0.575,0.7516666666666667
0.6575,0.565,0.75
0.6666666666666666,0.5733333333333334,0.76
0.6716666666666666,0.5783333333333334,0.765
0.6758333333333333,0.6033333333333334,0.7483333333333333
0.6491666666666667,0.5616666666666666,0.7366666666666667
0.6475,0.5616666666666666,0.7333333333333333
0.665,0.5733333333333334,0.7566666666666667
0.6833333333333333,0.5983333333333334,0.7683333333333333
0.67,0.575,0.765
0.6683333333333333,0.5933333333333334,0.7433333333333333
0.6775,0.5833333333333334,0.7716666666666666
0.6533333333333333,0.535,0.7716666666666666
0.6741666666666667,0.5916666666666667,0.7566666666666667
0.6675,0.5766666666666667,0.7583333333333333
0.6783333333333333,0.59,0.7666666666666667
0.6633333333333333,0.5683333333333334,0.7583333333333333
0.6683333333333333,0.5883333333333334,0.7483333333333333
0.6825,0.5933333333333334,0.7716666666666666
0.6675,0.57,0.765
0.6775,0.5816666666666667,0.7733333333333333
0.6641666666666667,0.5783333333333334,0.75
0.6791666666666667,0.5666666666666667,0.7916666666666666
0.6775,0.6016666666666667,0.7533333333333333
0.6666666666666666,0.57,0.7633333333333333
0.6683333333333333,0.575,0.7616666666666667
0.6825,0.6116666666666667,0.7533333333333333
0.675,0.5933333333333334,0.7566666666666667
0.68,0.5983333333333334,0.7616666666666667
0.665,0.5683333333333334,0.7616666666666667
0.6675,0.5816666666666667,0.7533333333333333
0.67,0.6,0.74
0.6733333333333333,0.5866666666666667,0.76
0.6883333333333334,0.5983333333333334,0.7783333333333333
0.6608333333333334,0.575,0.7466666666666667
0.6775,0.5883333333333334,0.7666666666666667
0.6491666666666667,0.5516666666666666,0.7466666666666667
0.6766666666666666,0.5916666666666667,0.7616666666666667
0.6758333333333333,0.585,0.7666666666666667
0.6816666666666666,0.6083333333333333,0.755
