accuracy_total,accuracy_druggable,accuracy_non_druggable
0.68,0.6083333333333333,0.7516666666666667
0.6925,0.6066666666666667,0.7783333333333333
0.6891666666666667,0.6,0.7783333333333333
0.6841666666666667,0.5833333333333334,0.785
0.6933333333333334,0.6266666666666667,0.76
0.6808333333333333,0.6066666666666667,0.755
0.6691666666666667,0.585,0.7533333333333333
0.6916666666666667,0.5916666666666667,0.7916666666666666
0.6758333333333333,0.58,0.7716666666666666
0.7016666666666667,0.6233333333333333,0.78
0.6875,0.625,0.75
0.6783333333333333,0.61,0.7466666666666667
0.6833333333333333,0.6133333333333333,0.7533333333333333
0.6825,0.6016666666666667,0.7633333333333333
0.6766666666666666,0.5866666666666667,0.7666666666666667
0.6666666666666666,0.575,0.7583333333333333
0.6791666666666667,0.6066666666666667,0.7516666666666667
0.6783333333333333,0.605,0.7516666666666667
0.6725,0.595,0.75
0.6741666666666667,0.6,0.7483333333333333
0.6833333333333333,0.6166666666666667,0.75
0.705,0.635,0.775
0.6941666666666667,0.6283333333333333,0.76
0.7033333333333334,0.6283333333333333,0.7783333333333333
0.7041666666666667,0.6316666666666667,0.7766666666666666
0.6983333333333334,0.63,0.7666666666666667
0.695,0.6216666666666667,0.7683333333333333
0.6866666666666666,0.605,0.7683333333333333
0.6983333333333334,0.615,0.7816666666666666
0.6875,0.605,0.77
0.6925,0.61,0.775
0.6958333333333333,0.615,0.7766666666666666
0.6891666666666667,0.6016666666666667,0.7766666666666666
0.6875,0.6133333333333333,0.7616666666666667
0.6866666666666666,0.6133333333333333,0.76
0.6783333333333333,0.6083333333333333,0.7483333333333333
0.6825,0.6066666666666667,0.7583333333333333
0.675,0.58,0.77
0.6833333333333333,0.6066666666666667,0.76
0.6975,0.62,0.775
0.6808333333333333,0.6,0.7616666666666667
0.6991666666666667,0.6266666666666667,0.7716666666666666
0.6916666666666667,0.61,0.7733333333333333
0.6825,0.6016666666666667,0.7633333333333333
0.67,0.59,0.75
0.6766666666666666,0.605,0.7483333333333333
0.6866666666666666,0.6216666666666667,0.7516666666666667
0.6716666666666666,0.5933333333333334,0.75
0.6791666666666667,0.6166666666666667,0.7416666666666667
0.6758333333333333,0.5983333333333334,0.7533333333333333
0.6958333333333333,0.625,0.7666666666666667
0.6825,0.61,0.755
0.67,0.5816666666666667,0.7583333333333333
0.6833333333333333,0.59,0.7766666666666666
0.6716666666666666,0.5783333333333334,0.765
0.6825,0.5983333333333334,0.7666666666666667
0.68,0.6,0.76
0.6725,0.5983333333333334,0.7466666666666667
0.6808333333333333,0.59,0.7716666666666666
0.6833333333333333,0.61,0.7566666666666667
0.6966666666666667,0.6266666666666667,0.7666666666666667
0.6833333333333333,0.5966666666666667,0.77
0.68,0.5933333333333334,0.7666666666666667
0.6825,0.6166666666666667,0.7483333333333333
0.685,0.5983333333333334,0.7716666666666666
0.6841666666666667,0.6116666666666667,0.7566666666666667
0.6766666666666666,0.6,0.7533333333333333
0.68,0.5933333333333334,0.7666666666666667
0.68,0.6166666666666667,0.7433333333333333
0.6941666666666667,0.615,0.7733333333333333
0.685,0.6066666666666667,0.7633333333333333
0.6741666666666667,0.5933333333333334,0.755
